term_en,frequency,canonical_yo,notes
TB,99,,
HIV,92,,
diabetes,85,,
malaria,65,,
infection,40,,
blood pressure,36,,
hypertension,28,,
typhoid,24,,
glucose,18,,
fever,18,,
insulin,16,,
ART,16,,
pregnancy,11,,
diagnosis,11,,
bacteria,11,,
malnutrition,11,,
vaccine,10,,
virus,9,,
tuberculosis,9,,
AIDS,8,,
parasite,8,,
mosquito,7,,
nutrition,7,,
PrEP,6,,
antiretroviral,5,,
sanitation,5,,
immunization,4,,
antimalarial,3,,
hygiene,3,,
contagious,2,,
vaccination,2,,
prenatal,1,,
prescription,1,,
antibiotic,1,,
